f1,f2r,f2t,f_ideal
30,16.5,16.8,18.4
35,20,20,21.6
40,22.2,22.2,24.6
45,24.6,26.1,27.6
50,28.1,28.8,30.2
55,31.4,31.2,33.6
60,34.5,33.6,36.5
65,35.4,36.6,39
70,40.4,40.5,41.7
