Model,DPO4104
Firmware Version,2.48

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,2e-06,
Sample Interval,2e-10,
Record Length,100000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,0.1,0.1
Label,,
TIME,CH1,CH2
-9.89580e-06,0.00928125,0.012875
-9.89560e-06,0.009625,0.0133125
-9.89540e-06,0.0103906,0.0140156
-9.89520e-06,0.0106563,0.0140781
-9.89500e-06,0.0106563,0.0141406
-9.89480e-06,0.0107031,0.0142969
-9.89460e-06,0.0114531,0.0138281
-9.89440e-06,0.0114687,0.0140469
-9.89420e-06,0.0120313,0.0144375
-9.89400e-06,0.0117031,0.0132188
-9.89380e-06,0.012,0.01325
-9.89360e-06,0.012125,0.0128438
-9.89340e-06,0.0125938,0.012875
-9.89320e-06,0.0126875,0.0122188
-9.89300e-06,0.0124375,0.0122656
-9.89280e-06,0.012625,0.0123438
-9.89260e-06,0.0125781,0.01225
-9.89240e-06,0.0125938,0.0122188
-9.89220e-06,0.0124688,0.0120625
-9.89200e-06,0.0126875,0.0125156
-9.89180e-06,0.0123438,0.0121406
-9.89160e-06,0.0125469,0.0122813
-9.89140e-06,0.0125625,0.0122969
-9.89120e-06,0.01325,0.0127344
-9.89100e-06,0.0136094,0.0131406
-9.89080e-06,0.0145156,0.0135313
-9.89060e-06,0.0157656,0.0146094
-9.89040e-06,0.017125,0.0144688
-9.89020e-06,0.0177969,0.0144375
-9.89000e-06,0.0185312,0.0150625
-9.88980e-06,0.0195156,0.0160938
-9.88960e-06,0.0205781,0.0169375
-9.88940e-06,0.0205,0.018375
-9.88920e-06,0.0212031,0.01925
-9.88900e-06,0.0216563,0.0207188
-9.88880e-06,0.0215938,0.0206719
-9.88860e-06,0.02125,0.020875
-9.88840e-06,0.0214844,0.0212969
-9.88820e-06,0.0209688,0.0202188
-9.88800e-06,0.0205625,0.0194063
-9.88780e-06,0.0206719,0.0190625
-9.88760e-06,0.0198438,0.017625
-9.88740e-06,0.0196094,0.0166563
-9.88720e-06,0.0193281,0.0155938
-9.88700e-06,0.0190938,0.0145469
-9.88680e-06,0.0190156,0.0142031
-9.88660e-06,0.0180469,0.0136094
-9.88640e-06,0.0174219,0.0126563
-9.88620e-06,0.0169063,0.011875
-9.88600e-06,0.0165938,0.0117031
-9.88580e-06,0.01575,0.011
-9.88560e-06,0.0156875,0.0105156
-9.88540e-06,0.0156875,0.010625
-9.88520e-06,0.0147656,0.0101719
-9.88500e-06,0.0153438,0.0105938
-9.88480e-06,0.01475,0.0105156
-9.88460e-06,0.0147969,0.0110156
-9.88440e-06,0.014875,0.0118438
-9.88420e-06,0.0155781,0.0123125
-9.88400e-06,0.0150469,0.0129219
-9.88380e-06,0.0147969,0.0135938
-9.88360e-06,0.0150625,0.0138906
-9.88340e-06,0.0151094,0.0135313
-9.88320e-06,0.0149375,0.0129063
-9.88300e-06,0.0148438,0.0119688
-9.88280e-06,0.0144375,0.0110625
-9.88260e-06,0.0143438,0.0103125
-9.88240e-06,0.0145,0.00914063
-9.88220e-06,0.0143281,0.0084375
-9.88200e-06,0.0142188,0.00804688
-9.88180e-06,0.01375,0.00770313
-9.88160e-06,0.0139844,0.00745313
-9.88140e-06,0.0145,0.00748438
-9.88120e-06,0.0130625,0.00635938
-9.88100e-06,0.0132969,0.00671875
-9.88080e-06,0.0130469,0.0060625
-9.88060e-06,0.013125,0.00645313
-9.88040e-06,0.0127031,0.00670313
-9.88020e-06,0.0124219,0.00678125
-9.88000e-06,0.012,0.00673438
-9.87980e-06,0.01175,0.00703125
-9.87960e-06,0.0119063,0.0075625
-9.87940e-06,0.0116563,0.007625
-9.87920e-06,0.0113906,0.00864063
-9.87900e-06,0.0115313,0.00925
-9.87880e-06,0.0117969,0.00921875
-9.87860e-06,0.0119219,0.00985938
-9.87840e-06,0.0118906,0.00998438
-9.87820e-06,0.0115469,0.0100156
-9.87800e-06,0.0115,0.00976563
-9.87780e-06,0.0115625,0.0105469
-9.87760e-06,0.0111875,0.00964063
-9.87740e-06,0.0110781,0.00907813
-9.87720e-06,0.0112969,0.00815625
-9.87700e-06,0.011125,0.0078125
-9.87680e-06,0.0115781,0.00717188
-9.87660e-06,0.0112813,0.00675
-9.87640e-06,0.0110469,0.00578125
-9.87620e-06,0.0114531,0.00557813
-9.87600e-06,0.0115781,0.0044375
-9.87580e-06,0.0111563,0.004375
-9.87560e-06,0.0107969,0.00378125
-9.87540e-06,0.0103281,0.00384375
-9.87520e-06,0.0106094,0.00403125
-9.87500e-06,0.0106719,0.00464063
-9.87480e-06,0.00932813,0.00446875
-9.87460e-06,0.00935938,0.0053125
-9.87440e-06,0.00948438,0.00553125
-9.87420e-06,0.00948438,0.00645313
-9.87400e-06,0.00978125,0.00695313
-9.87380e-06,0.00979688,0.00692188
-9.87360e-06,0.0093125,0.00646875
-9.87340e-06,0.00926562,0.006125
-9.87320e-06,0.0095,0.0063125
-9.87300e-06,0.00939062,0.00532813
-9.87280e-06,0.0093125,0.00529688
-9.87260e-06,0.0095,0.00429688
-9.87240e-06,0.0091875,0.00376563
-9.87220e-06,0.00929688,0.00329688
-9.87200e-06,0.0091875,0.0024375
-9.87180e-06,0.00940625,0.0016875
-9.87160e-06,0.00960938,0.00171875
-9.87140e-06,0.0104063,0.0019375
-9.87120e-06,0.0099375,0.001625
-9.87100e-06,0.00942188,0.00185938
-9.87080e-06,0.0093125,0.00196875
-9.87060e-06,0.0093125,0.00259375
-9.87040e-06,0.00895313,0.0029375
-9.87020e-06,0.00857813,0.00307813
-9.87000e-06,0.00875,0.00307813
-9.86980e-06,0.009125,0.00375
-9.86960e-06,0.0081875,0.00385938
-9.86940e-06,0.00826562,0.00378125
-9.86920e-06,0.008125,0.00371875
-9.86900e-06,0.00814062,0.00390625
-9.86880e-06,0.00804688,0.00367188
-9.86860e-06,0.00817188,0.0035
-9.86840e-06,0.00807813,0.00240625
-9.86820e-06,0.00795313,0.0021875
-9.86800e-06,0.00785938,0.00167188
-9.86780e-06,0.00826562,0.0015
-9.86760e-06,0.00815625,0.00132813
-9.86740e-06,0.00834375,0.00075
-9.86720e-06,0.00860938,0.000640625
-9.86700e-06,0.00821875,2.77556e-17
-9.86680e-06,0.00879688,-0.000265625
-9.86660e-06,0.008625,-0.000296875
-9.86640e-06,0.00890625,-0.000984375
-9.86620e-06,0.00817188,-0.000640625
-9.86600e-06,0.00817188,-0.00107812
-9.86580e-06,0.0078125,-0.0005625
-9.86560e-06,0.00726563,-0.000484375
-9.86540e-06,0.007375,-4.6875e-05
-9.86520e-06,0.0070625,3.125e-05
-9.86500e-06,0.007625,0.0003125
-9.86480e-06,0.0069375,0.000375
-9.86460e-06,0.00664063,0.000546875
-9.86440e-06,0.0069375,0.00071875
-9.86420e-06,0.00689063,0.00034375
-9.86400e-06,0.00728125,0.000890625
-9.86380e-06,0.00710938,0.00053125
-9.86360e-06,0.00709375,0.0010625
-9.86340e-06,0.00725,0.00114063
-9.86320e-06,0.00753125,0.000265625
-9.86300e-06,0.00721875,0.000390625
-9.86280e-06,0.00729688,0.0001875
-9.86260e-06,0.00767188,-4.6875e-05
-9.86240e-06,0.00776563,-0.00028125
-9.86220e-06,0.0079375,-0.00034375
-9.86200e-06,0.00745313,-0.00135937
-9.86180e-06,0.00767188,-0.000984375
-9.86160e-06,0.00775,-0.00134375
-9.86140e-06,0.00759375,-0.00123437
-9.86120e-06,0.0075,-0.00075
-9.86100e-06,0.00679688,-0.00117187
-9.86080e-06,0.00689063,-0.00128125
-9.86060e-06,0.00657813,-0.00109375
-9.86040e-06,0.00690625,-0.000390625
-9.86020e-06,0.0064375,-0.00025
-9.86000e-06,0.006375,-0.00028125
-9.85980e-06,0.00642188,-4.6875e-05
-9.85960e-06,0.00628125,0.0001875
-9.85940e-06,0.00673438,0.000234375
-9.85920e-06,0.00615625,0.00021875
-9.85900e-06,0.00598438,0.000203125
-9.85880e-06,0.00634375,2.77556e-17
-9.85860e-06,0.007,0.000109375
-9.85840e-06,0.00671875,-0.0005
-9.85820e-06,0.0064375,-0.00059375
-9.85800e-06,0.00654688,-0.000953125
-9.85780e-06,0.00689063,-0.00117187
-9.85760e-06,0.0073125,-0.00128125
-9.85740e-06,0.00695313,-0.001625
-9.85720e-06,0.00717188,-0.00170312
-9.85700e-06,0.00714063,-0.00154687
-9.85680e-06,0.00685938,-0.00145312
-9.85660e-06,0.00660938,-0.00164062
-9.85640e-06,0.00632813,-0.00148437
-9.85620e-06,0.00620313,-0.00167187
-9.85600e-06,0.00696875,-0.000875
-9.85580e-06,0.0069375,-0.000625
-9.85560e-06,0.00609375,-0.00126562
-9.85540e-06,0.0059375,-0.0005625
-9.85520e-06,0.00595313,-0.0003125
-9.85500e-06,0.00629688,-0.000234375
-9.85480e-06,0.00659375,-0.000265625
