Model,DPO4104
Firmware Version,2.48

Point Format,Y,,,,Point Format,Y
Horizontal Units,S,,,,Horizontal Units,Hz
Horizontal Scale,2e-06,,,,Horizontal Scale,2.5e+08
Sample Interval,2e-10,,,,Sample Interval,25000
Record Length,100000,,,,Record Length,100000
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%,,Gating,0.0% to 100.0%
Probe Attenuation,1,1,1,,Probe Attenuation,1
Vertical Units,V,V,V,,Vertical Units,V
Vertical Offset,0,0,0,,Vertical Offset,0
Vertical Scale,0.1,0.1,1,,Vertical Scale,0.0005
Label,,,,,Label,
TIME,CH1,CH2,CH3,,TIME,MATH
-9.85220e-06,0.00898438,0.00576562,3.88281,,1.67500e+06,2.625e-05
-9.85200e-06,0.00873438,0.00545313,3.88172,,1.70000e+06,2.67187e-05
-9.85180e-06,0.00839062,0.00517188,3.88563,,1.72500e+06,2.60938e-05
-9.85160e-06,0.0086875,0.00571875,3.88234,,1.75000e+06,2.54687e-05
-9.85140e-06,0.00832812,0.00496875,3.88203,,1.77500e+06,2.50781e-05
-9.85120e-06,0.00854687,0.00540625,3.88156,,1.80000e+06,2.46875e-05
-9.85100e-06,0.0085625,0.00560937,3.88141,,1.82500e+06,2.5e-05
-9.85080e-06,0.00857812,0.00559375,3.88016,,1.85000e+06,2.53125e-05
-9.85060e-06,0.00889062,0.00560937,3.88281,,1.87500e+06,2.53906e-05
-9.85040e-06,0.00946875,0.00559375,3.88266,,1.90000e+06,2.54687e-05
-9.85020e-06,0.00892187,0.0055625,3.88516,,1.92500e+06,0.000125859
-9.85000e-06,0.00832812,0.00535937,3.88094,,1.95000e+06,0.000226328
-9.84980e-06,0.00876562,0.00570313,3.88094,,1.97500e+06,0.000326875
-9.84960e-06,0.00907812,0.005875,3.88094,,2.00000e+06,0.000427422
-9.84940e-06,0.00920312,0.0058125,3.88344,,2.02500e+06,0.000326484
-9.84920e-06,0.0093125,0.0058125,3.88,,2.05000e+06,0.000225547
-9.84900e-06,0.0089375,0.00553125,3.88094,,2.07500e+06,0.000124766
-9.84880e-06,0.009125,0.00560937,3.88187,,2.10000e+06,2.39844e-05
-9.84860e-06,0.00928125,0.00565625,3.88094,,2.12500e+06,2.33594e-05
-9.84840e-06,0.00907812,0.00579688,3.88109,,2.15000e+06,2.27344e-05
-9.84820e-06,0.0091875,0.00575,3.87797,,2.17500e+06,2.3125e-05
-9.84800e-06,0.009125,0.00567188,3.88031,,2.20000e+06,2.35156e-05
-9.84780e-06,0.00882812,0.00548438,3.87875,,2.22500e+06,2.35937e-05
-9.84760e-06,0.00951562,0.00584375,3.88125,,2.25000e+06,2.375e-05
-9.84740e-06,0.00892187,0.00557813,3.87906,,2.27500e+06,2.32031e-05
-9.84720e-06,0.00896875,0.00590625,3.87953,,2.30000e+06,2.26562e-05
-9.84700e-06,0.00875,0.00571875,3.87766,,2.32500e+06,2.35937e-05
-9.84680e-06,0.00928125,0.00590625,3.87938,,2.35000e+06,2.46094e-05
-9.84660e-06,0.009375,0.00578125,3.87938,,2.37500e+06,2.57031e-05
-9.84640e-06,0.009,0.0055625,3.87891,,2.40000e+06,2.67969e-05
-9.84620e-06,0.00910938,0.00578125,3.87922,,2.42500e+06,2.63281e-05
-9.84600e-06,0.00907812,0.00575,3.87781,,2.45000e+06,2.59375e-05
-9.84580e-06,0.00946875,0.0058125,3.87766,,2.47500e+06,2.55469e-05
-9.84560e-06,0.0086875,0.00573438,3.87594,,2.50000e+06,2.51563e-05
-9.84540e-06,0.0088125,0.00565625,3.87531,,2.52500e+06,2.50781e-05
-9.84520e-06,0.00901562,0.00571875,3.87859,,2.55000e+06,2.5e-05
-9.84500e-06,0.00845312,0.00570313,3.87641,,2.57500e+06,2.49219e-05
-9.84480e-06,0.00910938,0.005875,3.87938,,2.60000e+06,2.49219e-05
-9.84460e-06,0.00865625,0.0060625,3.87641,,2.62500e+06,2.50781e-05
-9.84440e-06,0.00889062,0.00617187,3.87688,,2.65000e+06,2.52344e-05
-9.84420e-06,0.00903125,0.005875,3.87766,,2.67500e+06,2.5e-05
-9.84400e-06,0.00928125,0.006,3.87656,,2.70000e+06,2.48437e-05
-9.84380e-06,0.00879687,0.006,3.87437,,2.72500e+06,2.46094e-05
-9.84360e-06,0.00825,0.0059375,3.87266,,2.75000e+06,2.44531e-05
-9.84340e-06,0.00817187,0.00585938,3.87656,,2.77500e+06,2.39063e-05
-9.84320e-06,0.00857812,0.00598438,3.87563,,2.80000e+06,2.34375e-05
-9.84300e-06,0.00865625,0.0061875,3.87688,,2.82500e+06,2.3125e-05
-9.84280e-06,0.0088125,0.006,3.87594,,2.85000e+06,2.28906e-05
-9.84260e-06,0.00851562,0.0060625,3.87203,,2.87500e+06,2.28125e-05
-9.84240e-06,0.00842187,0.00595313,3.87281,,2.90000e+06,2.28125e-05
-9.84220e-06,0.00851562,0.00592188,3.87375,,2.92500e+06,0.000301953
-9.84200e-06,0.00845312,0.00604688,3.8725,,2.95000e+06,0.000581172
-9.84180e-06,0.00834375,0.0061875,3.87375,,2.97500e+06,0.000875625
-9.84160e-06,0.0078125,0.005875,3.8725,,3.00000e+06,0.00117016
-9.84140e-06,0.0078125,0.00596875,3.87312,,3.02500e+06,0.000878281
-9.84120e-06,0.00864062,0.0060625,3.87578,,3.05000e+06,0.000586484
-9.84100e-06,0.00779687,0.00590625,3.86922,,3.07500e+06,0.000305547
-9.84080e-06,0.00782812,0.00590625,3.87266,,3.10000e+06,2.46094e-05
-9.84060e-06,0.00789062,0.0061875,3.87359,,3.12500e+06,2.45312e-05
-9.84040e-06,0.00803125,0.00615625,3.87437,,3.15000e+06,2.44531e-05
-9.84020e-06,0.00815625,0.0061875,3.87469,,3.17500e+06,2.50781e-05
-9.84000e-06,0.00782812,0.00601562,3.87062,,3.20000e+06,2.57812e-05
-9.83980e-06,0.00764062,0.00639063,3.87125,,3.22500e+06,2.55469e-05
-9.83960e-06,0.00803125,0.00626562,3.8725,,3.25000e+06,2.53125e-05
-9.83940e-06,0.00803125,0.00642187,3.87328,,3.27500e+06,2.5625e-05
-9.83920e-06,0.00745312,0.00614063,3.86813,,3.30000e+06,2.59375e-05
-9.83900e-06,0.00765625,0.00639063,3.86813,,3.32500e+06,2.65625e-05
-9.83880e-06,0.007875,0.00615625,3.87156,,3.35000e+06,2.71875e-05
-9.83860e-06,0.00767187,0.0063125,3.86797,,3.37500e+06,2.63281e-05
-9.83840e-06,0.00742187,0.00615625,3.87172,,3.40000e+06,2.54687e-05
