freq	unwrap(phase(S(2,1)))
4.29999999999999982E7	-9.02994860019567547E2
4.40000000000000036E7	-9.24172450507092869E2
4.50000000000000000E7	-9.45364538664108167E2
4.59999999999999964E7	-9.66571239704889784E2
4.70000000000000018E7	-9.87792714616406542E2
4.79999999999999982E7	-1.00902925842273450E3
4.90000000000000036E7	-1.03028133197819716E3
5.00000000000000000E7	-1.05154951183230705E3
5.09999999999999964E7	-1.07283436877131666E3
5.20000000000000018E7	-1.09413632791113757E3
5.29999999999999982E7	-1.11545558208170514E3
5.40000000000000036E7	-1.13679211329526142E3
5.50000000000000000E7	-1.15814582940687116E3
5.59999999999999964E7	-1.17951676086743573E3
5.70000000000000018E7	-1.20090522162867464E3
5.79999999999999982E7	-1.22231184217610012E3
5.90000000000000036E7	-1.24373743553276173E3
6.00000000000000000E7	-1.26518274331366642E3
6.09999999999999964E7	-1.28664818118808344E3
6.20000000000000018E7	-1.30813372126147498E3
6.29999999999999982E7	-1.32963899659313434E3
6.40000000000000036E7	-1.35116360339838426E3
6.50000000000000000E7	-1.37270746525240339E3
6.59999999999999964E7	-1.39427106974283488E3
6.70000000000000018E7	-1.41585542850376145E3
6.79999999999999982E7	-1.43746174497444779E3
6.90000000000000036E7	-1.45909092981510691E3
7.00000000000000000E7	-1.48074320965088480E3
7.09999999999999964E7	-1.50241805660425687E3
7.20000000000000018E7	-1.52411452200573772E3
7.29999999999999982E7	-1.54583184396703155E3
7.40000000000000036E7	-1.56757002934303902E3
7.50000000000000000E7	-1.58933008504757156E3
7.59999999999999964E7	-1.61111372421467047E3
7.70000000000000018E7	-1.63292264317402425E3
7.79999999999999982E7	-1.65475771552465645E3
7.90000000000000036E7	-1.67661854025207790E3
8.00000000000000000E7	-1.69850364183519953E3
8.09999999999999964E7	-1.72041129241072355E3
8.19999999999999929E7	-1.74234057267268239E3
8.30000000000000071E7	-1.76429210570565109E3
8.40000000000000036E7	-1.78626801172546901E3
8.50000000000000000E7	-1.80827101724159123E3
8.59999999999999964E7	-1.83030311829952019E3
8.69999999999999929E7	-1.85236449574001227E3
8.80000000000000071E7	-1.87445332607373172E3
8.90000000000000036E7	-1.89656670253001702E3
9.00000000000000000E7	-1.91870227378802771E3
9.09999999999999964E7	-1.94085974949879381E3
9.19999999999999929E7	-1.96304139870015559E3
9.30000000000000071E7	-1.98525114679866954E3
9.40000000000000036E7	-2.00749262966785347E3
9.50000000000000000E7	-2.02976719532962679E3
9.59999999999999964E7	-2.05207299111793962E3
9.69999999999999929E7	-2.07440578685327148E3
9.80000000000000071E7	-2.09676125663496515E3
9.90000000000000036E7	-2.11913755764248446E3
1.00000000000000000E8	-2.14153674110307302E3
1.01000000000000001E8	-2.16396405890439425E3
1.02000000000000002E8	-2.18642534865444027E3
1.03000000000000003E8	-2.20892380279386424E3
1.04000000000000004E8	-2.23145792863620773E3
1.05000000000000004E8	-2.25402202496665449E3
1.06000000000000005E8	-2.27660917687091890E3
1.06999999999999984E8	-2.29921527023614258E3
1.08000000000000007E8	-2.32184175530250680E3
1.09000000000000008E8	-2.34449540989361882E3
1.10000000000000009E8	-2.36718495164550635E3
1.10999999999999988E8	-2.38991616817053565E3
1.11999999999999988E8	-2.41268827371195238E3
1.13000000000000012E8	-2.43549379046000158E3
1.14000000000000012E8	-2.45832241836142673E3
1.14999999999999991E8	-2.48116698316900886E3
1.15999999999999992E8	-2.50402807490261159E3
1.16999999999999993E8	-2.52691447012549508E3
1.18000000000000016E8	-2.54983870698620985E3
1.18999999999999995E8	-2.57280998600308175E3
1.19999999999999996E8	-2.59582835921292032E3
1.20999999999999996E8	-2.61888385595221784E3
1.21999999999999997E8	-2.64196163454693167E3
1.22999999999999998E8	-2.66505062304051421E3
1.23999999999999999E8	-2.68815064553394123E3
1.25000000000000000E8	-2.71127353356956169E3
1.26000000000000001E8	-2.73443704752628003E3
1.27000000000000002E8	-2.75765463341619244E3
1.28000000000000003E8	-2.78092679620615790E3
1.29000000000000004E8	-2.80423956631764559E3
1.30000000000000004E8	-2.82757183461038508E3
1.31000000000000005E8	-2.85090787256620271E3
1.31999999999999984E8	-2.87424759922671758E3
1.33000000000000007E8	-2.89760798741171088E3
1.34000000000000008E8	-2.92101406789858142E3
1.35000000000000009E8	-2.94448414894782573E3
1.35999999999999988E8	-2.96801773907742250E3
1.36999999999999988E8	-2.99159404187782973E3
1.38000000000000012E8	-3.01518325734014647E3
1.39000000000000012E8	-3.03876474808867503E3
1.39999999999999991E8	-3.06234090019168459E3
1.40999999999999992E8	-3.08593752169373570E3
1.41999999999999993E8	-3.10958960843389720E3
1.43000000000000016E8	-3.13332007516482802E3
1.43999999999999995E8	-3.15712394983337497E3
1.44999999999999996E8	-3.18096881869370129E3
1.45999999999999996E8	-3.20481330040485224E3
1.46999999999999997E8	-3.22863316886498364E3
