Model,DPO4104
Firmware Version,2.48

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,2e-06,,
Sample Interval,2e-10,,
Record Length,100000,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,0.1,1
Label,,,
TIME,CH1,CH2,CH3
-9.83920e-06,0.00807812,0.00567188,0.816562
-9.83900e-06,0.00784375,0.0054375,0.813906
-9.83880e-06,0.00746875,0.00532813,0.807812
-9.83860e-06,0.00754687,0.00526562,0.813437
-9.83840e-06,0.00709375,0.00514063,0.806094
-9.83820e-06,0.00726562,0.00498438,0.810312
-9.83800e-06,0.00784375,0.0055,0.816719
-9.83780e-06,0.00721875,0.00478125,0.810312
-9.83760e-06,0.00720312,0.00510937,0.810469
-9.83740e-06,0.00721875,0.00501562,0.809844
-9.83720e-06,0.00732812,0.0050625,0.811875
-9.83700e-06,0.00726562,0.00484375,0.809531
-9.83680e-06,0.007,0.00451562,0.807656
-9.83660e-06,0.007125,0.0043125,0.811719
-9.83640e-06,0.00703125,0.00439063,0.809531
-9.83620e-06,0.00692187,0.00435937,0.811094
-9.83600e-06,0.00692187,0.00435937,0.810312
-9.83580e-06,0.00732812,0.00421875,0.8125
-9.83560e-06,0.00690625,0.00407813,0.812812
-9.83540e-06,0.00689062,0.00373438,0.809531
-9.83520e-06,0.006625,0.00373438,0.809687
-9.83500e-06,0.00703125,0.003125,0.810625
-9.83480e-06,0.0068125,0.00307813,0.808594
-9.83460e-06,0.00689062,0.00320313,0.809063
-9.83440e-06,0.00659375,0.00345313,0.809531
-9.83420e-06,0.00676562,0.00304688,0.810625
-9.83400e-06,0.00642187,0.002625,0.807656
-9.83380e-06,0.00654687,0.00275,0.809687
-9.83360e-06,0.00628125,0.00239063,0.81
-9.83340e-06,0.00632812,0.00260937,0.810156
-9.83320e-06,0.0063125,0.0025625,0.807656
-9.83300e-06,0.00651562,0.00246875,0.81125
-9.83280e-06,0.00654687,0.00292188,0.814844
-9.83260e-06,0.00628125,0.00223438,0.804531
-9.83240e-06,0.00642187,0.00229688,0.807969
-9.83220e-06,0.00646875,0.00239063,0.813125
-9.83200e-06,0.00609375,0.00215625,0.806406
-9.83180e-06,0.00614062,0.00228125,0.808437
-9.83160e-06,0.006625,0.00245313,0.813594
-9.83140e-06,0.00617187,0.001875,0.807656
-9.83120e-06,0.0061875,0.00209375,0.806875
-9.83100e-06,0.00614062,0.00182813,0.809531
-9.83080e-06,0.00639062,0.00189063,0.812031
-9.83060e-06,0.00615625,0.00176563,0.8125
-9.83040e-06,0.0058125,0.00157813,0.807656
-9.83020e-06,0.00626562,0.0016875,0.813281
-9.83000e-06,0.00585938,0.00159375,0.81
-9.82980e-06,0.0063125,0.00159375,0.809375
-9.82960e-06,0.0060625,0.00134375,0.806094
-9.82940e-06,0.00596875,0.00129688,0.814219
-9.82920e-06,0.006,0.00160937,0.812344
-9.82900e-06,0.00601562,0.00104688,0.810312
-9.82880e-06,0.00604687,0.00132813,0.806094
-9.82860e-06,0.00607812,0.00104688,0.810312
-9.82840e-06,0.00582813,0.00101563,0.807656
-9.82820e-06,0.00592187,0.001125,0.812031
-9.82800e-06,0.00590625,0.00139063,0.812031
-9.82780e-06,0.00584375,0.00084375,0.810156
-9.82760e-06,0.00579687,0.000515625,0.808281
-9.82740e-06,0.00592187,0.0005625,0.81125
-9.82720e-06,0.00601562,0.00053125,0.808437
-9.82700e-06,0.00596875,0.000546875,0.809687
-9.82680e-06,0.006,0.0006875,0.809063
-9.82660e-06,0.00571875,0.00034375,0.812656
-9.82640e-06,0.00609375,0.000234375,0.815469
-9.82620e-06,0.00585938,0.0001875,0.806562
-9.82600e-06,0.00579687,9.375e-05,0.807187
-9.82580e-06,0.00567187,0.000109375,0.814688
-9.82560e-06,0.00551562,-0.000421875,0.80875
-9.82540e-06,0.00596875,-0.000375,0.812187
-9.82520e-06,0.00596875,0.00028125,0.814531
-9.82500e-06,0.00585938,-0.00078125,0.81
-9.82480e-06,0.00567187,-0.00065625,0.813125
-9.82460e-06,0.00598438,-0.00101562,0.812187
-9.82440e-06,0.00592187,-0.000875,0.81125
-9.82420e-06,0.00595313,-0.000703125,0.817344
-9.82400e-06,0.00554687,-0.00110937,0.811719
-9.82380e-06,0.00596875,-0.000875,0.813906
-9.82360e-06,0.00582813,-0.000828125,0.812656
-9.82340e-06,0.005875,-0.000890625,0.815156
-9.82320e-06,0.00570313,-0.00123437,0.812344
-9.82300e-06,0.00576562,-0.000984375,0.81625
-9.82280e-06,0.0056875,-0.001375,0.817031
-9.82260e-06,0.00560937,-0.00153125,0.812187
-9.82240e-06,0.00585938,-0.0016875,0.813281
-9.82220e-06,0.00596875,-0.00123437,0.815
-9.82200e-06,0.00598438,-0.00145312,0.813125
-9.82180e-06,0.005875,-0.00145312,0.813594
-9.82160e-06,0.00614062,-0.00151562,0.817969
-9.82140e-06,0.00629687,-0.00167187,0.819375
-9.82120e-06,0.00598438,-0.001625,0.814531
-9.82100e-06,0.00582813,-0.00182812,0.817187
-9.82080e-06,0.00604687,-0.00190625,0.815625
-9.82060e-06,0.00585938,-0.00159375,0.817187
-9.82040e-06,0.00573437,-0.00185937,0.81
-9.82020e-06,0.00585938,-0.001625,0.816406
-9.82000e-06,0.00601562,-0.00134375,0.819219
-9.81980e-06,0.00575,-0.001875,0.818594
-9.81960e-06,0.00595313,-0.00151562,0.814219
-9.81940e-06,0.00592187,-0.00135937,0.816406
-9.81920e-06,0.00564062,-0.00171875,0.81375
-9.81900e-06,0.00559375,-0.00154688,0.815469
-9.81880e-06,0.00598438,-0.0010625,0.821406
-9.81860e-06,0.00589062,-0.00148437,0.813594
-9.81840e-06,0.00579687,-0.001375,0.814688
-9.81820e-06,0.00575,-0.00139063,0.814688
-9.81800e-06,0.00592187,-0.0010625,0.814531
-9.81780e-06,0.006,-0.00096875,0.821562
-9.81760e-06,0.00560937,-0.00114063,0.817031
-9.81740e-06,0.0058125,-0.00084375,0.819687
-9.81720e-06,0.0055625,-0.001125,0.814062
-9.81700e-06,0.0059375,-0.000859375,0.819063
-9.81680e-06,0.00564062,-0.00075,0.814219
-9.81660e-06,0.00535937,-0.00053125,0.819063
-9.81640e-06,0.005875,-0.000375,0.817344
-9.81620e-06,0.00520313,-0.0005,0.818594
-9.81600e-06,0.00571875,-0.000609375,0.81875
-9.81580e-06,0.00554687,-0.000765625,0.812656
-9.81560e-06,0.00529687,-0.00075,0.814688
-9.81540e-06,0.00576562,-0.00075,0.817187
-9.81520e-06,0.00590625,-6.25e-05,0.82375
-9.81500e-06,0.0056875,-0.00040625,0.819063
-9.81480e-06,0.005375,-0.00059375,0.814844
-9.81460e-06,0.00529687,-0.0005625,0.819219
-9.81440e-06,0.00559375,-0.000609375,0.81625
-9.81420e-06,0.0055625,-0.00065625,0.819844
-9.81400e-06,0.005625,-0.00075,0.815
-9.81380e-06,0.00553125,-0.000640625,0.815312
-9.81360e-06,0.00548437,-0.00028125,0.820469
-9.81340e-06,0.00567187,-0.000796875,0.820937
-9.81320e-06,0.00520313,-0.000734375,0.817656
-9.81300e-06,0.0053125,-0.00065625,0.816875
-9.81280e-06,0.00542187,-0.000703125,0.815
-9.81260e-06,0.00534375,-0.000890625,0.81875
-9.81240e-06,0.0055,-0.000453125,0.825469
-9.81220e-06,0.00489062,-0.00114063,0.815
-9.81200e-06,0.00546875,-0.000609375,0.814062
-9.81180e-06,0.00564062,-0.000828125,0.81625
-9.81160e-06,0.00582813,-0.000671875,0.817187
-9.81140e-06,0.00554687,-0.00120312,0.821562
-9.81120e-06,0.00520313,-0.00103125,0.817969
-9.81100e-06,0.00535937,-0.00075,0.820469
-9.81080e-06,0.00523437,-0.000890625,0.815312
-9.81060e-06,0.00554687,-0.00114063,0.820156
-9.81040e-06,0.00545313,-0.00126562,0.812344
-9.81020e-06,0.00507813,-0.000734375,0.817656
-9.81000e-06,0.00554687,-0.001125,0.817344
-9.80980e-06,0.00514062,-0.00120312,0.818125
-9.80960e-06,0.00540625,-0.0014375,0.819375
-9.80940e-06,0.00510937,-0.00129688,0.816406
-9.80920e-06,0.00554687,-0.00148437,0.814688
-9.80900e-06,0.005375,-0.0010625,0.817969
-9.80880e-06,0.00570313,-0.00078125,0.82375
-9.80860e-06,0.0050625,-0.00114063,0.819531
-9.80840e-06,0.00517187,-0.00134375,0.817187
-9.80820e-06,0.00546875,-0.00126562,0.816875
-9.80800e-06,0.00517187,-0.00148437,0.814688
-9.80780e-06,0.0055625,-0.00153125,0.815625
-9.80760e-06,0.0055,-0.00185937,0.811875
-9.80740e-06,0.0053125,-0.0015625,0.814375
-9.80720e-06,0.0055,-0.0009375,0.816406
-9.80700e-06,0.00553125,-0.00164063,0.820156
-9.80680e-06,0.00507813,-0.00170312,0.815312
-9.80660e-06,0.0051875,-0.00140625,0.817344
-9.80640e-06,0.00548437,-0.00173437,0.815469
-9.80620e-06,0.00535937,-0.001625,0.815
-9.80600e-06,0.00565625,-0.00103125,0.822656
-9.80580e-06,0.0054375,-0.00164063,0.810312
-9.80560e-06,0.00551562,-0.00184375,0.814844
-9.80540e-06,0.0055625,-0.00189063,0.816719
-9.80520e-06,0.00576562,-0.0015625,0.81625
