time	V_out
8.70669735266147171E-8	-4.00889497151365681E-8
8.71149870689485972E-8	7.46626714033372796E-6
8.71710815216247781E-8	4.17565797309540088E-6
8.72383366391279402E-8	-7.00760844861679644E-6
8.73477934664396471E-8	-3.27979356954384649E-6
8.74031358481536813E-8	1.45041188526143361E-5
8.74588451571059800E-8	7.31179133594998198E-6
8.75432524892628727E-8	-1.12710135827382896E-5
8.75912299546092399E-8	-1.44155209428506836E-5
8.76435754215173013E-8	8.11606984233926276E-7
8.77013283697806223E-8	9.60539017889439961E-6
8.77828850864004195E-8	1.33768766679747930E-6
8.78362572761867177E-8	-2.54694914370713210E-6
8.78877030372964185E-8	4.75033694579245491E-7
8.79453734687947275E-8	-2.32534464285174236E-6
8.80418027799913006E-8	-2.13434605888312801E-6
8.80967854226240910E-8	7.63001689712483433E-6
8.81500719417822509E-8	8.73849804107854133E-6
8.82076611305618385E-8	-2.08833926125641245E-6
8.82629910187224453E-8	-1.22625375761512756E-5
8.83145678453248806E-8	-1.30369392921051674E-5
8.83619260879998869E-8	5.11196383220648087E-6
8.84177688245147131E-8	1.95284438695370222E-5
8.84945874031986257E-8	8.33434741711680793E-7
8.85810909712323991E-8	-1.99831197413215755E-5
8.86346947421790077E-8	-4.70884140923469374E-6
8.86899660518834487E-8	6.79933825613838572E-6
8.87916753849362550E-8	5.47636067896400114E-6
8.88496862660532294E-8	-1.98348867200736301E-6
8.89032401886256807E-8	-1.60464230701368193E-6
8.89611301911222263E-8	-6.99275072979357581E-6
8.90193324357801785E-8	-3.44159141956819026E-6
8.90683394468935674E-8	3.31928243491062247E-6
8.91164259525196201E-8	1.59874674469805167E-5
8.91727439953193191E-8	7.43005324376031506E-6
8.92433863414143858E-8	-1.52758892574831351E-5
8.93413660596692338E-8	-7.17495972878780464E-6
8.93956787164042410E-8	1.99755898826193934E-5
8.94515446663353231E-8	2.40891280577873257E-5
8.95429210839708034E-8	-1.95071623292427110E-5
8.95944896526514256E-8	-2.23600168879727335E-5
8.96474070607909468E-8	-7.08243734135193392E-6
8.97239740587621526E-8	1.19746950058301294E-5
8.98195069762676646E-8	5.00629791694313298E-6
8.98740761706885394E-8	-2.44418507417259034E-6
8.99286140299532200E-8	-7.60649378163530532E-6
8.99981732486880404E-8	-9.30719404027897212E-6
9.00683908958191104E-8	1.00019914619910200E-5
9.01187089999628910E-8	1.81721889707945961E-5
9.01735287448557088E-8	8.01488802202998762E-6
9.02432692309307605E-8	-1.76889105356311771E-5
9.03466945258865550E-8	-4.39266762291519441E-6
9.04012348606295646E-8	2.49210947562675189E-5
9.04573585389331569E-8	2.60909536144314913E-5
9.05575889245259269E-8	-2.76378373319577975E-5
9.06091666973876642E-8	-2.83008930198425634E-5
9.06635092805626819E-8	-9.67800437257354673E-6
9.07244072946286018E-8	1.31342367855161912E-5
9.08177238224054406E-8	7.95236615905873467E-6
9.08707688061934604E-8	1.37106832265566880E-6
9.09248688228905877E-8	-1.01127839745142900E-5
9.09936276844462455E-8	-8.00158119845528581E-6
9.10684801516799247E-8	9.57789503524569241E-6
9.11189916208849837E-8	2.40720904660030577E-5
9.11739220490723135E-8	4.39408907064854670E-6
9.12425716021375344E-8	-1.60032623536932661E-5
9.13149412747421785E-8	-2.10155353705470826E-5
9.13654870620356974E-8	2.27882130514206871E-6
9.14195831421901595E-8	3.91719006232318989E-5
9.15060693918593948E-8	6.59787196695220857E-6
9.15996415359879990E-8	-3.68071106160147288E-5
9.16543104993267654E-8	-1.88259223636112294E-5
9.17108594232916907E-8	4.69505950478955292E-6
9.18032116663621700E-8	1.77094418717892865E-5
9.18534792654446974E-8	6.69295391593163203E-6
9.19071609560445069E-8	-3.86115960419116933E-6
9.19669229060503213E-8	-1.08887127427568919E-5
9.20665646722035369E-8	1.14629755401929634E-5
9.21200010451947371E-8	1.93322412007734501E-5
9.21742938602931261E-8	3.87926042412352334E-6
9.22411038032618080E-8	-2.05069339443637055E-5
9.23152464890477020E-8	-2.33696012019689148E-5
9.23655850488062136E-8	4.23897420540314229E-6
9.24199284631558626E-8	3.62797346480417682E-5
9.25133855018340867E-8	8.71409954576227719E-6
9.26115871897007992E-8	-3.45351464982755729E-5
9.26670204798151431E-8	-2.75977370181143833E-5
9.27257962872907271E-8	5.17315052868123360E-6
9.28196288578358164E-8	1.42715694022195061E-5
9.28717572491417798E-8	8.70703626212426585E-6
9.29265506513257655E-8	-5.09189541018192138E-6
9.29941706073410757E-8	-5.57109010269434624E-6
9.30637657923497486E-8	8.64492329360130718E-6
9.31139826973781481E-8	1.58195213933186030E-5
9.31678452093533416E-8	1.64668351040813365E-6
9.32363249308634146E-8	-2.14983628667548388E-5
9.33205107437204084E-8	-2.56890890674751216E-5
9.33720616561575056E-8	1.15450563104240045E-5
9.34271174756104372E-8	3.49512841603963764E-5
9.34958957895669052E-8	2.27252744113679039E-5
9.35969134994223495E-8	-2.53135186197094431E-5
9.36514481366725704E-8	-3.96462121230387643E-5
9.37074755811768156E-8	-1.36833156658941157E-5
9.38059392022728922E-8	1.80656562743844162E-5
9.38574878242352995E-8	1.40749470300526403E-5
9.39114786344369179E-8	7.45766920307869174E-6
9.39722930435630310E-8	-9.15248046638208379E-7
9.40617860301020059E-8	8.07911411460653284E-6
9.41137108587064475E-8	1.13860789033015131E-5
9.41674773254121966E-8	-1.31773134019819782E-6
9.42328804112039364E-8	-2.29254717545694264E-5
9.43178860317964229E-8	-2.25133808337352237E-5
9.43692343440364390E-8	8.22369512959065574E-6
9.44239764097713064E-8	3.75868654772028288E-5
9.44913821984919799E-8	2.67482236555137431E-5
9.45916160032461129E-8	-1.84499173081923029E-5
9.46459030441544868E-8	-4.26497017194675010E-5
9.47017371983870859E-8	-2.93458929698631277E-5
9.48039442582031455E-8	1.04257104579975479E-5
9.48559083089132393E-8	1.63026133432052966E-5
9.49099424236673350E-8	1.23060280449126869E-5
9.49698157911602792E-8	7.53798459520572806E-6
9.50275714720754294E-8	4.57675513306704662E-6
9.50719770397135377E-8	8.54943395811632989E-6
9.51200607026578204E-8	7.84313884867109579E-6
9.51781848054380752E-8	-1.09890346383502102E-5
9.52508677307048579E-8	-2.82703012682977750E-5
9.53183843500714545E-8	-2.08711364739073346E-5
9.53693887219701608E-8	1.20551482779140162E-5
9.54236388152492765E-8	3.83623884883064115E-5
9.54963792938324829E-8	2.74220197623103124E-5
9.55981611957052380E-8	-1.93209530074948654E-5
9.56523475944521451E-8	-4.55979077366224583E-5
9.57088946251673534E-8	-3.48478497251621810E-5
9.58098113250236416E-8	4.14028677002545198E-6
9.58612094252063152E-8	1.41266038217433731E-5
9.59159515358861192E-8	1.80344590360675916E-5
9.59770794819391071E-8	1.39318386012465956E-5
9.60543123500129425E-8	1.21616296609507302E-5
9.61047984167817759E-8	1.01279708288554837E-5
9.61571731727787338E-8	-3.53310461769720341E-6
9.62214315168878542E-8	-2.41520156711340839E-5
9.62778087439703256E-8	-3.06250389268531364E-5
9.63194617622237814E-8	-1.67820873177251562E-5
9.63690157999083041E-8	1.69772166308440786E-5
9.64454684599502166E-8	4.14193912627827032E-5
9.65061950877032793E-8	2.75095917209471441E-5
9.65700700348092056E-8	4.17130583825191792E-6
9.66197947448227445E-8	-3.09020748923851496E-5
9.66757825731916398E-8	-5.46477846019021296E-5
9.67454785388807181E-8	-3.23775140178590437E-5
9.68453966642801412E-8	4.69803120758797821E-6
9.68999923632740057E-8	1.61778084599460437E-5
9.69558970567576495E-8	2.18824105756075671E-5
9.70132298367789581E-8	1.84763002982590230E-5
9.70643236555349453E-8	1.81699093157742420E-5
9.71123915470210086E-8	1.01924574269495616E-5
9.71671591041899774E-8	-6.51923465835486748E-6
9.72365452813895814E-8	-2.91848044925593619E-5
9.73190379507795100E-8	-1.31978614106756620E-5
9.73706703406381102E-8	1.88433205286737238E-5
9.74254183497969706E-8	4.06983144746128733E-5
9.74942600025146788E-8	3.85508635514316023E-5
9.75656923102835805E-8	1.20854759203983231E-5
9.76161388376890926E-8	-2.66423150792364671E-5
9.76703844232719298E-8	-5.65532146392116797E-5
9.77392304955416513E-8	-4.96958422682207779E-5
9.78370081435742023E-8	-9.09789527375067664E-6
9.78907203984133112E-8	9.94056245023685747E-6
9.79466362255071310E-8	2.42363021458271932E-5
9.80006348062065413E-8	2.55965815272478192E-5
9.80563778951449017E-8	2.30010535616817169E-5
9.81039476737368865E-8	1.47773763466306352E-5
9.81567727811640189E-8	3.72300590171724677E-7
