Model,DPO4104
Firmware Version,2.48

Point Format,Y,,
Horizontal Units,S,,
Horizontal Scale,2e-06,,
Sample Interval,2e-10,,
Record Length,100000,,
Gating,0.0% to 100.0%,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,0.1,2
Label,,,
TIME,CH1,CH2,CH3
-9.91480e-06,0.0055,-0.00096875,6.16719
-9.91460e-06,0.00509375,-0.00114063,6.14563
-9.91440e-06,0.00490625,-0.00114063,6.13438
-9.91420e-06,0.00548438,-0.00028125,6.13938
-9.91400e-06,0.00520313,-0.00090625,6.12938
-9.91380e-06,0.00526563,-0.0008125,6.12
-9.91360e-06,0.00564063,-0.00084375,6.1225
-9.91340e-06,0.00525,-0.00065625,6.1175
-9.91320e-06,0.00504688,-0.0005625,6.11063
-9.91300e-06,0.005375,-0.000671875,6.09906
-9.91280e-06,0.00521875,-0.00101563,6.08375
-9.91260e-06,0.00521875,-0.00103125,6.08125
-9.91240e-06,0.00559375,-0.00109375,6.07344
-9.91220e-06,0.00571875,-0.00125,6.06031
-9.91200e-06,0.0055,-0.001125,6.04594
-9.91180e-06,0.005375,-0.00142188,6.05063
-9.91160e-06,0.00545313,-0.00134375,6.05313
-9.91140e-06,0.005125,-0.0013125,6.05594
-9.91120e-06,0.00523438,-0.00101563,6.04156
-9.91100e-06,0.00570313,-0.00123438,6.02875
-9.91080e-06,0.00573438,-0.00167187,6.03375
-9.91060e-06,0.00592188,-0.00121875,6.02781
-9.91040e-06,0.00571875,-0.00179687,6.02875
-9.91020e-06,0.00535937,-0.00121875,6.01562
-9.91000e-06,0.00567188,-0.0015,6.01531
-9.90980e-06,0.0054375,-0.00154688,6.02
-9.90960e-06,0.0055,-0.00201563,6.01094
-9.90940e-06,0.00529688,-0.0015,6.00719
-9.90920e-06,0.0055,-0.00132813,6.0025
-9.90900e-06,0.00560937,-0.00215625,5.99844
-9.90880e-06,0.00570313,-0.00242188,6.00438
-9.90860e-06,0.00557813,-0.00210937,6.00219
-9.90840e-06,0.00529688,-0.0019375,6
-9.90820e-06,0.0053125,-0.00203125,5.98625
-9.90800e-06,0.00542188,-0.00229687,5.99469
-9.90780e-06,0.00579688,-0.00234375,5.99094
-9.90760e-06,0.00520313,-0.00271875,5.99313
-9.90740e-06,0.00534375,-0.00260937,5.98375
-9.90720e-06,0.0053125,-0.00232813,5.9775
-9.90700e-06,0.00510937,-0.00264063,5.97188
-9.90680e-06,0.00540625,-0.00292188,5.97344
-9.90660e-06,0.0049375,-0.00303125,5.98031
-9.90640e-06,0.00503125,-0.00351563,5.98406
-9.90620e-06,0.00482813,-0.0031875,5.99063
-9.90600e-06,0.00496875,-0.00339062,5.9875
-9.90580e-06,0.00514063,-0.00328125,5.98344
-9.90560e-06,0.0046875,-0.00348437,5.9875
-9.90540e-06,0.00479688,-0.0035625,5.98563
-9.90520e-06,0.0046875,-0.00389062,5.9825
-9.90500e-06,0.0048125,-0.004,5.98875
-9.90480e-06,0.00467188,-0.004125,5.995
-9.90460e-06,0.0045625,-0.00429687,5.99125
-9.90440e-06,0.00414063,-0.00420312,5.99531
-9.90420e-06,0.00396875,-0.00415625,5.98844
-9.90400e-06,0.00445313,-0.00453125,5.99688
-9.90380e-06,0.00460937,-0.00473438,5.99906
-9.90360e-06,0.0044375,-0.00453125,5.99719
-9.90340e-06,0.00471875,-0.00465625,5.98594
-9.90320e-06,0.00390625,-0.00509375,5.99219
-9.90300e-06,0.00429688,-0.005,6.00188
-9.90280e-06,0.00420313,-0.00492188,6.00531
-9.90260e-06,0.00453125,-0.00492188,6.01531
-9.90240e-06,0.00448438,-0.00529687,6.01438
-9.90220e-06,0.00454688,-0.0053125,6.01031
-9.90200e-06,0.00470313,-0.00507812,6.00438
-9.90180e-06,0.00470313,-0.00501562,6.00781
-9.90160e-06,0.00426563,-0.00529687,6.01313
-9.90140e-06,0.00428125,-0.0055625,6.00656
-9.90120e-06,0.00390625,-0.00532813,6.01313
-9.90100e-06,0.00409375,-0.00539062,6.00781
