time	V_in
4.43118545757204707E-8	3.18624066712261644E-3
4.53118545757204849E-8	7.58935382311125561E-3
4.63118545757204636E-8	1.62396874505476596E-2
4.73118545757204778E-8	3.12174732875248884E-2
4.83118545757204831E-8	5.39098817867285529E-2
4.93118545757204796E-8	8.36364405653359810E-2
5.03118545757204938E-8	1.16570034231348751E-1
5.13118545757204991E-8	1.45965730461377396E-1
5.23118545757204956E-8	1.64210685398593492E-1
5.33118545757205098E-8	1.65995482286208440E-1
5.43118545757204974E-8	1.50876882458893302E-1
5.52677873095730376E-8	1.25025698996856249E-1
5.61839141460159119E-8	9.64354727391473077E-2
5.71211675488545012E-8	7.05488374857476508E-2
5.80276576653696363E-8	5.44569249627345187E-2
5.89309346067253070E-8	5.14764969666627259E-2
5.98000023057072028E-8	6.34671706474297537E-2
6.06826439819819896E-8	9.16529378196100808E-2
6.15916556327682851E-8	1.36577927767051777E-1
6.25280009674065873E-8	1.94662843798091334E-1
6.35280009674065749E-8	2.59090226372709997E-1
6.44824833601109226E-8	3.08667678988936434E-1
6.54824833601109102E-8	3.33802614953558763E-1
6.64476101077722703E-8	3.25068721680641604E-1
6.74476101077722490E-8	2.84046488651876139E-1
6.84220358203471601E-8	2.24573273525115136E-1
6.93435525289725341E-8	1.63211894261057555E-1
7.02999528203987190E-8	1.06351208061926727E-1
7.11940005891888994E-8	6.49781487124828416E-2
7.21137625260914827E-8	3.56441316915892825E-2
7.24000000000000021E-8	2.91258460479730807E-2
7.24680580307653255E-8	2.76926128012843220E-2
7.26128836843813996E-8	2.48130993951149614E-2
7.29894684944784444E-8	1.84585750416855188E-2
7.36788544788847233E-8	1.04345103450083099E-2
7.41757786930249452E-8	6.63166035831619904E-3
7.46312421953026117E-8	4.28851457676665504E-3
7.56312421953026170E-8	1.33643383715264275E-3
7.61486447807313471E-8	6.31277395430352151E-4
7.65705686117997697E-8	2.55250859018169418E-4
7.69555193313555996E-8	-2.38234067840193831E-5
7.71935712689719278E-8	-2.17130681064698994E-4
7.73126476024051357E-8	-2.97803298862679622E-4
7.73998706746676390E-8	-2.54394795950465591E-4
7.74737132421237717E-8	-4.23673646894003042E-4
7.75293661099373477E-8	-3.17943214742453151E-4
7.75626071331814071E-8	-4.32703513459896971E-4
7.76382705281317698E-8	-4.01307369173292372E-4
7.76801422973177669E-8	-4.81735570393060630E-4
7.77527527572785448E-8	-4.28991019486193448E-4
7.78045909889851206E-8	-4.82228038440712226E-4
7.78471533325108656E-8	-4.53196605342573555E-4
7.79040164798214896E-8	-4.85214348991257971E-4
7.79596634188595150E-8	-4.20623334052355879E-4
7.80513816767302604E-8	-4.70291803259312147E-4
7.81032804798014268E-8	-4.07379937035933537E-4
7.81559234521827495E-8	-4.06280107653773115E-4
7.82164644048080593E-8	-4.52220013388231479E-4
7.83133868329127125E-8	-3.41254378816408810E-4
7.83654789466842860E-8	-1.96889328071592340E-4
7.84199160709045984E-8	-3.87821473190167731E-4
7.84836983239259922E-8	-2.80614294399872222E-4
7.85598553977249026E-8	-3.14474788921392356E-4
7.86101992728105259E-8	-3.87976740272906673E-4
7.86635755365079437E-8	-4.46462386279206491E-4
7.87290980044556932E-8	-5.04537104100723788E-4
7.88228521147470218E-8	-5.28823488257668206E-4
7.88753305303895580E-8	-6.17190383351975669E-4
7.89000000000000146E-8	-5.16382723155016965E-4
7.89063683735558286E-8	-5.21513577907099979E-4
7.89163449952435769E-8	-5.17369803681067975E-4
7.89462748603068043E-8	-5.16268165160167847E-4
7.90136958868622230E-8	-6.37042676606040814E-4
7.90611330526093692E-8	-6.11271823190836638E-4
7.91088018729766418E-8	-6.49242230234246165E-4
7.91624804907884716E-8	-7.91929198363452880E-4
7.92318201643297382E-8	-8.68697875828183896E-4
7.92882509836129756E-8	-8.33990407979163884E-4
7.93325354554637485E-8	-6.88493702639329186E-4
7.93834415751718048E-8	-7.94456253606451668E-4
7.94414719609689612E-8	-9.64838731662691451E-4
7.95425248067728674E-8	-9.86988741745495268E-4
7.95999320248460407E-8	-1.09868063487429879E-3
7.96535111976033505E-8	-1.21643131537693705E-3
7.97115529676469770E-8	-1.27240467477231523E-3
7.97699135005182658E-8	-1.26221178214108187E-3
7.98186473071214131E-8	-1.27644867110167559E-3
7.98667913770973570E-8	-1.18868253720303185E-3
7.99231537162328642E-8	-1.06386598606835614E-3
7.99941362805350842E-8	-1.08076414702439472E-3
8.00671134902258785E-8	-9.92152915594080653E-4
8.01181141989548884E-8	-1.03413528830326751E-3
8.01724357384399511E-8	-1.08058984335392472E-3
8.02423728641155698E-8	-1.06552244566613186E-3
8.03189225602771550E-8	-7.34539419084821965E-4
8.03698258064092030E-8	-6.77777621836787070E-4
8.04246896279553525E-8	-8.32211424727546856E-4
8.04937852757774763E-8	-8.77219891921147621E-4
8.05656885484489749E-8	-8.64445936412928972E-4
8.06162239916240964E-8	-1.02714161317223573E-3
8.06704483298787700E-8	-1.15337391910450693E-3
8.07393204561679667E-8	-1.24177668607617520E-3
8.08183232703352061E-8	-1.27758312316557210E-3
8.08693757791587231E-8	-1.16215809440994589E-3
8.09241457837187639E-8	-1.15737820988795503E-3
8.09926408431816469E-8	-1.21715083181543826E-3
8.10651676101643837E-8	-1.36065511312370280E-3
8.11156762550120902E-8	-1.51979974858077060E-3
8.11698431909114859E-8	-1.75144699681439819E-3
8.12382997708070498E-8	-1.92312359590828819E-3
8.13182031345577272E-8	-1.90489945692566653E-3
8.13693079766082583E-8	-2.03398444571951265E-3
8.14240629737075849E-8	-2.34216923427730750E-3
8.14923741029646997E-8	-2.57151077918434190E-3
8.15649614754891417E-8	-2.70706696327683716E-3
8.16154548995499773E-8	-2.88264772092845867E-3
8.16695915955352092E-8	-3.03041243852291231E-3
8.17379395846299595E-8	-3.08039248746373939E-3
8.18182781643166201E-8	-2.92769020946994551E-3
8.18694168319200344E-8	-2.75089842720505828E-3
8.19241834262429514E-8	-2.60606537515594594E-3
8.19924647780849547E-8	-2.47954687062575907E-3
8.20648724986951095E-8	-2.39356928121946666E-3
8.21153513165635474E-8	-2.37457054393094147E-3
8.21694679919132476E-8	-2.36993746322850463E-3
8.22378215340291341E-8	-2.25674281077413230E-3
8.22937133207368454E-8	-2.07156315499702748E-3
8.23392003390580207E-8	-1.94928829348199706E-3
8.23907754355733779E-8	-1.97504563091782881E-3
8.24505292762298936E-8	-2.07922755630451395E-3
8.25057664172270577E-8	-2.06921867786421521E-3
